headline,url
From Obama to Trump: How two presidents precipitated the end of ‘Cuban privilege’ in the US,https://english.elpais.com/usa/2025-04-16/from-obama-to-trump-how-two-presidents-precipitated-the-end-of-cuban-privilege-in-the-us.html
,https://english.elpais.com
,https://english.elpais.com
"Sly Stone, the artist who changed music history and disappeared",https://english.elpais.com/culture/2025-04-16/sly-stone-the-artist-who-changed-music-history-and-disappeared-he-had-everything-and-almost-deliberately-threw-it-away.html
,https://english.elpais.com
"Tibet, the territory where the Chinese Communist Party is omnipresent",https://english.elpais.com/international/2025-04-16/tibet-the-territory-where-the-chinese-communist-party-is-omnipresent.html
,https://english.elpais.com
Washington asks Spain to increase defense spending and axe ‘Google tax’ after meeting with economy minister,https://english.elpais.com/economy-and-business/2025-04-16/washington-asks-spain-to-increase-defense-spending-and-axe-google-tax-after-meeting-with-economy-minister.html
The US Latino economy is growing faster than the country’s as a whole,https://english.elpais.com/economy-and-business/2025-04-16/the-us-latino-economy-is-growing-faster-than-the-countrys-as-a-whole.html
The US targets La Familia Michoacana in its crusade against fentanyl,https://english.elpais.com/usa/2025-04-16/the-us-targets-la-familia-michoacana-in-its-crusade-against-fentanyl.html
"Mario Vargas Llosa’s great loves: His aunt Julia, his cousin Patricia, and socialite Isabel Preysler",https://english.elpais.com/culture/2025-04-16/mario-vargas-llosas-great-loves-his-aunt-julia-his-cousin-patricia-and-spanish-socialite-isabel-preysler.html
,https://english.elpais.com
Revenge of the shy kids in class: How Elon Musk and co. went from nerds to bullies,https://english.elpais.com/culture/2025-04-15/revenge-of-the-shy-kids-in-class-how-elon-musk-and-co-went-from-nerds-to-bullies.html
Actor William Levy bailed after Florida arrest,https://english.elpais.com/people/2025-04-16/actor-william-levy-bailed-after-florida-arrest-for-disorderly-intoxication-and-trespass.html
"Study of over 1,000 sites suggests inequality emerged long after agriculture",https://english.elpais.com/science-tech/2025-04-15/study-of-over-1000-sites-suggests-inequality-emerged-long-after-agriculture.html
,https://english.elpais.com
Mapping a tiny piece of mouse brain opens up new path to understanding human intelligence,https://english.elpais.com/science-tech/2025-04-09/mapping-a-tiny-piece-of-mouse-brain-opens-up-new-path-to-understanding-human-intelligence.html
,https://english.elpais.com
The 1944 treaty under which Trump accuses Mexico of stealing water from Texas,https://english.elpais.com/economy-and-business/2025-04-14/the-1944-treaty-under-which-trump-accuses-mexico-of-stealing-water-from-texas.html
,https://english.elpais.com
"No crash, but certainly not skyrocketing: Bitcoin stagnates in the face of tariff uncertainty",https://english.elpais.com/economy-and-business/2025-04-12/no-crash-but-certainly-not-skyrocketing-bitcoin-stagnates-in-the-face-of-tariff-uncertainty.html
,https://english.elpais.com
"Yan Lianke, writer: ‘Revolutions are terrible. Human progress cannot depend on destruction’",https://english.elpais.com/eps/2025-04-13/yan-lianke-writer-revolutions-are-terrible-human-progress-cannot-depend-on-destruction.html
The event that heralded a globalized world in the 19th century (and is still going strong),https://english.elpais.com/international/2025-04-12/the-event-that-heralded-a-globalized-world-in-the-19th-century-and-is-still-going-strong.html
The symbolic repatriation of Fernando Túpac Amaru,https://english.elpais.com
Gael García Bernal: ‘Documentaries bring logic to the madness we’re living in’,https://english.elpais.com/culture/2025-04-08/gael-garcia-bernal-documentaries-bring-logic-to-the-madness-were-living-in.html
,https://english.elpais.com
,https://english.elpais.com
Will opening new bistrots revitalize France’s dying countryside?,https://english.elpais.com/travel/2025-04-08/will-opening-new-bistrots-revitalize-frances-dying-countryside.html
,https://english.elpais.com
Why are young people today more anxious? Spoiler alert: It’s not just their phones that are to blame,https://english.elpais.com/lifestyle/2025-04-13/why-are-young-people-today-more-anxious-spoiler-alert-its-not-just-their-phones-that-are-to-blame.html
"Ellen Pompeo: ‘If I were to walk away completely from ‘Grey’s Anatomy,’ everybody gets to make money from my hard work except for me’",https://english.elpais.com/culture/2025-04-13/ellen-pompeo-if-i-were-to-walk-away-completely-from-greys-anatomy-everybody-gets-to-make-money-from-my-hard-work-except-for-me.html
,https://english.elpais.com
,https://english.elpais.com
Where is Taylor Swift? The keys to her public disappearance,https://english.elpais.com/people/2025-04-15/where-is-taylor-swift-the-keys-to-her-public-disappearance.html
Hurricane Trump grabs the spotlight ,https://english.elpais.com/usa/2025-04-13/hurricane-trump-grabs-the-spotlight.html
,https://english.elpais.com
Recruited by Mexican crime: ‘The four letters of Guadalajara invite you to work’,https://english.elpais.com/international/2025-04-13/recruited-by-mexican-crime-the-four-letters-of-guadalajara-invite-you-to-work.html
"You can no longer say ‘feminism,’ ‘non-binary’ or ‘immigrant’: How far-right governments restrict democracy through words",https://english.elpais.com/culture/2025-04-12/you-can-no-longer-say-feminism-non-binary-or-immigrant-how-far-right-governments-restrict-democracy-through-words.html
Listen now LOS40 USA,https://los40.us/
From Margins to Mainstream: Why Is Latin Music Taking Over the World — and Even the United States,https://los40.us/2025/from-margins-to-mainstream-why-is-latin-music-taking-over-the-world-and-even-the-united-states-32642.html
"Coachella Festival 2025 Weekend 2: Lineup, Date, Schedule, Buy Tickets…",https://los40.us/2025/coachella-2025-lineup-dates-venue-tickets-and-everything-you-need-to-know-26772.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
Trump administration celebrates rise in self-deportations: ‘We’re seeing sky-high levels of reverse migration’,https://english.elpais.com/usa/2025-04-02/trump-administration-celebrates-rise-in-self-deportations-were-seeing-sky-high-levels-of-reverse-migration.html
Human trafficking on TikTok: Smugglers defy Trump with offers on the social media platform ,https://english.elpais.com/usa/2025-03-29/human-trafficking-on-tiktok-smugglers-defy-trump-with-offers-on-the-social-media-platform.html
"Marisela Silva Chau, director of the Red Cross in Haiti: ‘We must prevent a humanitarian collapse. The population is already at its limit’",https://english.elpais.com/international/2025-04-11/marisela-silva-chau-director-of-the-red-cross-in-haiti-we-must-prevent-a-humanitarian-collapse-the-population-is-already-at-its-limit.html
"The ceasefire between Russia and Ukraine in the Black Sea, a high-risk deal with many question marks",https://english.elpais.com/international/2025-03-26/the-ceasefire-between-russia-and-ukraine-in-the-black-sea-a-high-risk-deal-with-many-question-marks.html
"Venezuelans trapped in Mexico, between Trump and Maduro: ‘We had the American dream. It didn’t happen’",https://english.elpais.com/international/2025-04-06/venezuelans-trapped-in-mexico-between-trump-and-maduro-we-had-the-american-dream-it-didnt-happen.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com/international/2025-02-25/the-most-coveted-trophy-europeans-and-asians-embrace-illegal-jaguar-hunting-in-bolivia.html
Latin America draws up a future of accelerated sustainable economic growth with equity,https://english.elpais.com/economy-and-business/2025-01-30/latin-america-draws-up-a-future-of-accelerated-economic-growth-with-equity.html
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com
"Ai Weiwei: ‘In the art world, everyone talks about money. It’s poisonous; you’re only worth as much as your work’  ",https://english.elpais.com/culture/2025-02-15/ai-weiwei-in-the-art-world-everyone-talks-about-money-its-poisonous-youre-only-worth-as-much-as-your-work.html
The SS nursery: Novelist recreates the Nazi maternity wards where babies were raised to swell the ranks of Himmler’s order,https://english.elpais.com/culture/2025-02-16/the-ss-nursery-novelist-recreates-the-nazi-maternity-wards-where-babies-were-raised-to-swell-the-ranks-of-himmlers-order.html
"Rafael López, oncologist: ‘With a blood test we expect to be able to identify the weaknesses of almost all tumors’",https://english.elpais.com/health/2025-02-21/rafael-lopez-oncologist-with-a-blood-test-we-expect-to-be-able-to-identify-the-weaknesses-of-almost-all-tumors.html
,https://english.elpais.com
The best Irish wine is made by a Spanish couple,https://english.elpais.com/lifestyle/2025-01-29/the-best-irish-wine-is-made-by-a-spanish-couple.html
,https://english.elpais.com
Four wealthy clients to attempt Everest with the help of xenon gas,https://english.elpais.com/sports/2025-01-25/four-wealthy-clients-to-attempt-everest-with-the-help-of-xenon-gas.html
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com/sports/2024-12-22/rwandas-sports-fever-a-pillar-of-development-or-sportswashing.html
